Date, Stage Number, Race Name, Rest Day?
04/05/2024,Stage 1,Giro d'Italia
05/05/2024,Stage 2,Giro d'Italia
06/05/2024,Stage 3,Giro d'Italia
07/05/2024,Stage 4,Giro d'Italia
08/05/2024,Stage 5,Giro d'Italia
09/05/2024,Stage 6,Giro d'Italia
10/05/2024,Stage 7,Giro d'Italia
11/05/2024,Stage 8,Giro d'Italia
12/05/2024,Stage 9,Giro d'Italia
13/05/2024,Stage 9,Giro d'Italia,Rest Day
14/05/2024,Stage 10,Giro d'Italia
15/05/2024,Stage 11,Giro d'Italia
16/05/2024,Stage 12,Giro d'Italia
17/05/2024,Stage 13,Giro d'Italia
18/05/2024,Stage 14,Giro d'Italia
19/05/2024,Stage 15,Giro d'Italia
20/05/2024,Stage 15,Giro d'Italia,Rest Day
21/05/2024,Stage 16,Giro d'Italia
22/05/2024,Stage 17,Giro d'Italia
23/05/2024,Stage 18,Giro d'Italia
24/05/2024,Stage 19,Giro d'Italia
25/05/2024,Stage 20,Giro d'Italia
26/05/2024,Stage 21,Giro d'Italia
29/06/2024,Stage 1,Tour de France
30/06/2024,Stage 2,Tour de France
01/07/2024,Stage 3,Tour de France
02/07/2024,Stage 4,Tour de France
03/07/2024,Stage 5,Tour de France
04/07/2024,Stage 6,Tour de France
05/07/2024,Stage 7,Tour de France
06/07/2024,Stage 8,Tour de France
07/07/2024,Stage 9,Tour de France
08/07/2024,Stage 9,Tour de France,Rest Day
09/07/2024,Stage 10,Tour de France
10/07/2024,Stage 11,Tour de France
11/07/2024,Stage 12,Tour de France
12/07/2024,Stage 13,Tour de France
13/07/2024,Stage 14,Tour de France
14/07/2024,Stage 15,Tour de France
15/07/2024,Stage 15,Tour de France,Rest Day
16/07/2024,Stage 16,Tour de France
17/07/2024,Stage 17,Tour de France
18/07/2024,Stage 18,Tour de France
19/07/2024,Stage 19,Tour de France
20/07/2024,Stage 20,Tour de France
21/07/2024,Stage 21,Tour de France
17/08/2024,Stage 1,Vuelta a Espana
18/08/2024,Stage 2,Vuelta a Espana
19/08/2024,Stage 3,Vuelta a Espana
20/08/2024,Stage 4,Vuelta a Espana
21/08/2024,Stage 5,Vuelta a Espana
22/08/2024,Stage 6,Vuelta a Espana
23/08/2024,Stage 7,Vuelta a Espana
24/08/2024,Stage 8,Vuelta a Espana
25/08/2024,Stage 9,Vuelta a Espana
26/08/2024,Stage 9,Vuelta a Espana,Rest Day
27/08/2024,Stage 10,Vuelta a Espana
28/08/2024,Stage 11,Vuelta a Espana
29/08/2024,Stage 12,Vuelta a Espana
30/08/2024,Stage 13,Vuelta a Espana
31/08/2024,Stage 14,Vuelta a Espana
01/09/2024,Stage 15,Vuelta a Espana
02/09/2024,Stage 15,Vuelta a Espana,Rest Day
03/09/2024,Stage 16,Vuelta a Espana
04/09/2024,Stage 17,Vuelta a Espana
05/09/2024,Stage 18,Vuelta a Espana
06/09/2024,Stage 19,Vuelta a Espana
07/09/2024,Stage 20,Vuelta a Espana
08/09/2024,Stage 21,Vuelta a Espana
